customer_id;reference_date;region;plan_type;contract_type;internet_tech;tenure_months;has_autopay;monthly_charges;total_charges;avg_data_gb;n_support_calls;n_complaints;late_payment;churned
53411;16/04/2024;Southeast;postpaid;annual;fiber;27;1;145,93;4153,71;10.01;0;0;0;0
69734;2024-11-18;Northeast;postpaid;monthly;FIBRE;26;1;110,79;3136,16;7.19;0;0;0;0
64474;2024-09-03;Northeast;prepaid;monthly;fiber;71;0;58,14;3987,54;13.09;1;1;0;0
50584;07/04/2024;North;postpaid;monthly;cable;53;0;56,23;3189,23;7.15;0;0;0;0
58368;02/01/2024;North;prepaid;monthly;fiber;61;0;75,18;4235,27;12.64;0;0;0;0
19021;2024-04-29;Center-West;postpaid;annual;fiber;56;1;75,45;4162,66;16.9;0;0;0;0
88199;2024-04-02;Southeast;postpaid;monthly;fiber;34;1;50,5;1853,19;20.84;1;0;1;0
48839;2024-08-25;Northeast;prepaid;monthly;cable;57;1;155,2;8993,45;18.73;2;2;0;0
23017;22/05/2024;South;prepaid;annual;fiber;46;0;72,39;3022,74;15.33;1;1;0;0
41194;12/01/2024;Southeast;postpaid;monthly;fiber;53;1;150,34;7756,11;11.98;1;1;0;0
60978;2024-08-26;North;prepaid;monthly;fiber;22;1;176,02;4042,31;8.31;0;1;0;0
72718;2024-02-12;Center-West;postpaid;annual;fiber;17;1;79,79;1308,88;13.08;0;0;0;0
75710;13/02/2024;Northeast;postpaid;annual;cable;13;0;175,53;;23.88;1;1;0;1
82522;2024-07-21;Northeast;postpaid;monthly;dsl;21;1;58,68;1306,61;9.12;1;0;0;0
57595;2024-04-25;Northeast;prepaid;annual;fiber;70;0;127,12;8447,62;26.96;0;0;0;1
87116;2024-02-20;Northeast;postpaid;annual;cable;67;0;178,68;11262,29;13.4;1;0;0;0
89855;2024-08-25;North;postpaid;annual;fiber;11;0;151,26;1728,48;21.43;3;1;0;0
28941;08/11/2024;Southeast;prepaid;monthly;cable;40;1;64,46;2677,65;7.52;3;0;1;0
31697;27/02/2024;Center-West;prepaid;annual;fiber;67;0;68,6;4138,01;6.96;1;0;1;0
51242;2024-11-14;North;prepaid;annual;fiber;54;1;69,36;3791,94;4.46;1;1;1;0
56682;2024-01-26;North;prepaid;monthly;cable;44;1;171,45;6884,95;23.73;1;1;0;1
78357;2024-07-06;South;postpaid;annual;cable;43;1;66,81;3108,25;13.36;2;1;0;0
65264;2024-09-19;Southeast;postpaid;annual;dsl;24;0;106,44;2676,31;16.77;0;1;0;0
89234;2024-02-03;Center-West;postpaid;monthly;dsl;66;1;82,48;5699,19;11.45;0;0;0;0
18511;2024-12-06;Northeast;prepaid;annual;cable;6;1;84,19;529,41;12.05;0;0;0;0
38198;2024-04-12;Northeast;prepaid;monthly;dsl;62;0;91,23;5300,38;3.99;1;1;0;0
35601;2024-10-08;North;prepaid;annual;fiber;62;1;81,76;4669,75;13.5;1;0;0;0
10242;2024-08-01;Center-West;postpaid;annual;fiber;19;1;119,99;2256,44;;2;0;1;0
58925;12/05/2024;North;postpaid;monthly;dsl;37;0;93,82;3609,79;2.34;2;1;0;0
13847;2024-01-21;North;prepaid;monthly;dsl;63;0;96,15;6654,62;8.37;0;0;0;0
77243;2024-11-13;North;postpaid;monthly;cable;34;1;105,9;3441,1;6.47;2;0;1;0
63816;2024-05-09;South;prepaid;annual;FIBRE;22;1;83,43;1985,43;15.17;0;0;0;0
71093;2024-07-02;Southeast;prepaid;monthly; fiber ;5;1;143,18;655,32;14.69;2;0;0;0
45201;2024-03-06;North;prepaid;annual;fiber;32;1;105,52;3242,17;16.71;0;0;0;0
58111;29/05/2024;Center-West;postpaid;monthly;cable;20;1;106,38;2089,63;0.69;1;1;0;0
90228;2024-07-29;Southeast;postpaid;monthly;fiber;61;1;61,48;3640,59;11.56;0;0;0;0
17545;2024-12-23;Center-West;postpaid;annual;cable;62;0;34,63;2290,21;2.85;1;0;0;1
33601;2024-11-14;Center-West;prepaid;monthly;fiber;24;1;151,39;3587,33;13.02;0;0;0;0
19651;2024-12-11;South;prepaid;monthly;fiber;15;1;158,32;2502,34;4.15;0;0;0;0
38022;2024-11-24;Northeast;postpaid;monthly;cable;21;1;66,19;1496,66;14.53;0;0;0;0
59472;02/04/2024;Southeast;prepaid;monthly;fiber;29;1;84,0;2439,01;4.25;0;1;0;0
67480;05/02/2024;Northeast;postpaid;monthly;cable;48;0;83,7;3924,49;5.57;0;3;0;1
92720;2024-06-14;Northeast;postpaid;monthly;FIBRE;11;0;132,63;1313,72;20.18;1;0;0;0
60458;2024-02-04;South;prepaid;annual;dsl;71;0;58,09;;10.15;0;1;0;0
60974;2024-09-04;Southeast;postpaid;monthly;dsl;50;1;176,81;9657,94;10.37;2;0;0;0
98482;2024-09-21;Center-West;postpaid;monthly;cable;10;1;39,28;372,24;5.45;0;1;1;0
15209;2024-09-28;North;postpaid;monthly;fiber;23;0;176,07;4402,89;18.98;0;1;1;0
76869;2024-01-03;Center-West;postpaid;monthly; fiber ;50;1;40,32;2209,95;13.47;2;0;0;0
95856;2024-01-03;Northeast;postpaid;annual;dsl;36;1;77,63;2885,6;;0;0;0;0
24443;30/06/2024;Northeast;prepaid;monthly;cable;38;0;67,6;2639,03;4.89;0;0;0;1
35969;2024-06-01;Northeast;postpaid;monthly;cable;3;1;68,95;220,91;11.52;1;1;0;1
62910;2024-08-28;Southeast;prepaid;monthly;cable;30;1;179,2;5885,37;37.96;1;0;1;0
82141;2024-09-17;South;postpaid;annual;dsl;44;1;98,75;4452,68;6.89;1;1;0;0
